runtime,director_popularity,actor1_popularity,actor2_popularity,actor3_popularity,actor4_popularity,actor5_popularity,cast_pop_mean,cast_pop_max,release_month,release_year,release_quarter,is_summer_release,is_holiday_release,star_count,cast_popularity_std,cast_gender_ratio,director_is_female,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,num_genres,keyword_count,lang_en,lang_fr,lang_es,lang_ja,lang_de,lang_other,is_english,has_budget,log_budget,has_overview,overview_length,popularity
148,8.2813,12.2774,5.6445,4.5824,9.6156,4.8289,7.38976,12.2774,7.0,2010.0,3.0,1,0,5,3.0439643576099904,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,20,1,0,0,0,0,0,1,1,18.8906843794481,1,280,32.8952
100,5.1258,2.1981,1.978,1.8252,4.9563,2.1777,2.62706,4.9563,11.0,2010.0,4.0,0,1,1,1.1726507077557236,0.4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0,0,0,1,1,19.376192192825954,1,286,19.876
124,4.0024,9.2587,5.5278,3.4058,17.8153,4.4974,8.101,17.8153,4.0,2010.0,2.0,0,0,5,5.241375545026324,0.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10,1,0,0,0,0,0,1,1,19.11382792951231,1,372,13.79
95,2.0111,5.8392,2.9334,4.8379,0.7743,2.4183,3.36062,5.8392,7.0,2010.0,3.0,1,0,2,1.793613674568746,0.6,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,18,1,0,0,0,0,0,1,1,18.049617077054286,1,287,18.4625
146,1.4636,7.0936,9.4552,4.3204,3.1401,4.5939,5.72064,9.4552,11.0,2010.0,4.0,0,1,5,2.2680987338297247,0.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,21,1,0,0,0,0,0,1,1,19.33697147982652,1,298,13.8146
138,6.5116,12.2774,6.3304,5.2239,2.7838,3.4178,6.00666,12.2774,2.0,2010.0,1.0,0,0,4,3.3801989181703496,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,16,1,0,0,0,0,0,1,1,18.197537205138154,1,219,16.0567
104,4.0504,1.4482,1.032,1.935,1.0299,0.4301,1.17504,1.935,1.0,2010.0,1.0,0,0,0,0.49972337387798865,0.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,39,0,0,0,0,0,1,0,0,0.0,1,318,15.1791
108,5.1379,2.3812,13.44,13.9576,4.5939,2.892,7.45294,13.9576,3.0,2010.0,1.0,0,0,3,5.154693379668668,0.6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0,0,0,1,1,19.11382792951231,1,139,10.9411
102,1.4612,8.1709,6.0004,3.5183,1.8064,3.2926,4.55772,8.1709,6.0,2010.0,2.0,1,0,4,2.2533122104138164,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0,0,1,1,18.197537205138154,1,138,14.6812
107,0.9931,4.8916,3.2321,2.3868,6.5325,1.3633,3.68126,6.5325,7.0,2010.0,3.0,1,0,3,1.8354728225718844,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,11,1,0,0,0,0,0,1,1,17.50439003707821,1,118,12.4268
